stamp,x,y
16471,2.690114460823049,1.7032187134089813
16497,2.6819826270924407,1.6920868287767479
16523,2.6982463088903734,1.6809549441445146
16549,2.7063781470235306,1.6809549441445146
16574,2.722641828887803,1.6698230603032493
16601,2.7633010309485297,1.6475592910387826
16627,2.8283557674880804,1.5807679840363509
16653,2.803960256149799,1.5696360994041172
16679,2.7958284178839596,1.5696360994041172
16704,2.779564744731909,1.558504214771884
16731,2.771432906452802,1.558504214771884
16757,2.7551692332344104,1.5473723301396507
16783,2.722641882196054,1.5362404462983852
16809,2.7063782088449804,1.525108561666152
16835,2.7063782088449804,1.525108561666152
16860,2.698246370526068,1.525108561666152
16887,2.7063782088449804,1.525108561666152
16913,2.698246374928618,1.5139766770339187
16939,2.7063782176766162,1.5028447924016854
16965,2.7145100660358406,1.4805810231372187
16991,2.714510070464925,1.4694491392959534
17017,2.714510074894012,1.4583172546637202
17043,2.7307737561466765,1.4471853700314867
17069,2.730773760602298,1.4360534853992535
17095,2.7226419221772407,1.4360534853992535
17121,2.6901145749443667,1.4137897161347868
17147,2.690114579333648,1.4026578322935215
17173,2.6494553933440113,1.3803940630290548
17199,2.6494553976669515,1.3692621783968215
17225,2.6494554063128324,1.3469984091323548
17251,2.6413235720913013,1.3358665252910895
17277,2.7307738007028988,1.3358665252910895
17303,2.7551692961703855,1.3915259476612882
17329,2.738905622527412,1.3803940630290548
17355,2.738905622527412,1.3803940630290548
17381,2.73077378288041,1.3803940630290548
17407,2.7226419488313653,1.3692621783968215
17433,2.714510110326699,1.3692621783968215
17459,2.698246436564312,1.358130293764588
17485,2.6901146056693355,1.3358665252910895
17511,2.6657190932297956,1.324734640658856
17537,2.641323585020318,1.3024708713943896
17563,2.6169280766516225,1.2802071021299228
17589,2.5844007198971672,1.2802071021299228
17615,2.5437415203814457,1.2913389867621565
17641,2.5112141636800622,1.2913389867621565
17667,2.478686811022988,1.2802071021299228
17693,2.446159455424136,1.2802071021299228
17719,2.4055002639837637,1.2690752182886575
17745,2.381104745800315,1.2690752182886575
17771,2.3567092326177566,1.2579433336564245
